V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V1.8,V1.9,V1.10,V2.1,V2.2,V2.3,V2.4,V2.5,V2.6,V2.7,V2.8,V2.9,V2.10,y0,y1,t,prob_t,y,prob_t_pred_log,prob_t_pred_tree,linear0,lasso0,linear1,lasso1
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.642541465171329,0.6145642656065501,0,0.5,0.642541465171329,0.5407351909597841,0.534,0.6514433696116337,0.6068506440897453,0.6187418278123085,0.5930180981718624
0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.39438118744454,0.444755122682673,1,0.5,0.444755122682673,0.472217409777182,0.466,0.38451824339776697,0.44715261150884567,0.4322649251892149,0.5069710131811952
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.691691186651946,0.7683119216842249,1,0.5,0.7683119216842249,0.457726862076969,0.466,0.6742537619403537,0.5671900371826952,0.7783905271353317,0.5964384731617501
0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.474047752047339,0.5292488171588211,1,0.5,0.5292488171588211,0.467139977295312,0.466,0.48725787456831976,0.4980002286513395,0.5326712377376841,0.539307056978979
0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.444901387350765,0.524217060713402,0,0.5,0.444901387350765,0.53274479955496,0.534,0.48465285285778825,0.4950625454608044,0.534569355097218,0.5383655436042909
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0.6621136976589549,0.788769565061653,0,0.5,0.6621136976589549,0.542633041250761,0.534,0.6810023543052239,0.567138901318238,0.7941280426059565,0.5983123234297627
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.954810481203773,0.918350211581587,1,0.5,0.918350211581587,0.444488706777021,0.466,0.9515511222921447,0.7518274779306451,0.9216088373958478,0.68721131597912
0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.43856090683482796,0.383442229804858,1,0.5,0.383442229804858,0.469381715173823,0.466,0.44686968134993094,0.5082315893918914,0.4117293659194753,0.5288249140115513
0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0.33780006641292,0.34727031599407504,0,0.5,0.33780006641292,0.525491934567499,0.534,0.339538982546362,0.432960353264677,0.36655453518618564,0.4934096271069844
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0.667583610274511,0.626176057332157,1,0.5,0.626176057332157,0.45856716440309003,0.466,0.6652991870396592,0.611864627075073,0.6372528805588142,0.5972430399093086
0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0.49176619082375705,0.6145304459630171,1,0.5,0.6145304459630171,0.46586237998077007,0.466,0.5086602911086365,0.4815110295237369,0.6265972630822509,0.544045210834442
0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0.5101556139379729,0.584527371624718,1,0.5,0.584527371624718,0.465681613987981,0.466,0.5159504097492994,0.5071034619430386,0.5744537339649176,0.5479616270285635
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0.37002728960865006,0.4584418836723889,1,0.5,0.4584418836723889,0.473012359035334,0.466,0.36563209682709236,0.4207705877496639,0.4597324124194755,0.49977004582460965
0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.596667133669994,0.6105710338436291,0,0.5,0.596667133669994,0.537723355003008,0.534,0.5868236032115411,0.5535134317299284,0.6131629303931099,0.5711042556698482
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.251109991705247,0.31306763053649606,0,0.5,0.251109991705247,0.5205889661205171,0.534,0.23873851939953078,0.37249679161405447,0.29655443280478455,0.4609036736201275
0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0.38553688688426,0.564910078588766,0,0.5,0.38553688688426,0.528155595525464,0.534,0.3837879265957864,0.3966653970717871,0.5666858582851427,0.5030430366991226
0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0.5989205379648199,0.6481748460664589,1,0.5,0.6481748460664589,0.46111154345256394,0.466,0.609131823221564,0.5565637643371899,0.6565058992243649,0.5775359900329853
1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.616688242921434,0.535075239088256,1,0.5,0.535075239088256,0.459335772409456,0.466,0.655817262192901,0.6442395046034788,0.5280551853654604,0.5969934517680792
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0.707075503711172,0.734080395920977,0,0.5,0.707075503711172,0.5428875775538721,0.534,0.6904383913285415,0.5976590518279286,0.7336602001715722,0.6031893376451307
0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0.6659729072359829,0.6013700335031011,1,0.5,0.6013700335031011,0.46097527481817996,0.466,0.6159547565783501,0.5845316863671257,0.596878340353406,0.5814976798871883
